path	role	git_state	content_source	provider_state	bytes	sha256	mtime_utc
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/tweezer-front-arm.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	14002	6d9eb9077bfc516ecc0e10f19877a8338e8ac25df8ccb32b5f638167116cb153	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/assets/optimized/tweezer-open.webp	touchbaes_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	19960	ef66f4ef20d968460132e2f5f704f1f95dfdd8565bcd5f69397e35b93930761c	2026-07-07T03:09:41Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/bg-test.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	957	ade985efc45c5b0377d843ee6a75191556860afa56bd1d39389d715c04187603	2026-07-07T23:19:33Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/bg-visual-test.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	3003	2c082fac1dd2927e4df3dbdcb40324a5dfec875bcea42d11d6ee624a71fa332a	2026-07-08T01:11:56Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/index.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	34776	612119958ae3993163761574c6409068ada751d9ea117455722110c48d9f0d25	2026-07-07T19:08:48Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/proto-game.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	37943	1a3251484308cbff56db33f69af62863721efabd44666220eb8230783d92823b	2026-07-08T02:29:59Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/proto-parent.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	4625	cde746f213f96d88b4cf743dd23d3d00b3c4b529231ba175c48be2316dcb32d1	2026-07-08T02:45:19Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/touchbaes-game-cargo.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	30675	a8fba9d9cad20d71349a6212a963259ab3dd358caed9fda1925654ba3df890c2	2026-07-07T04:37:55Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/touchbaes-sticker-game-v10.html	touchbaes_active_bundle	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	49140	2c4f2c12a8d049ab0805fb8f72f246a95e715154671d5fd8cc808407995afcb5	2026-07-13T05:15:23Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/touchbaes-sticker-game-v8.html	touchbaes_source_or_prototype	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	45989	9fdc69f13975263d7153baceb6cf3d2eab5363bfe962ec4811653d031b1a87c4	2026-07-12T07:05:14Z
Portfolio assets/_for cargo deployment/touchbaes/sticker game/touchbaes-sticker-game/touchbaes-sticker-game.html	touchbaes_active_bundle	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	49140	2c4f2c12a8d049ab0805fb8f72f246a95e715154671d5fd8cc808407995afcb5	2026-07-13T05:15:35Z
cargo/DEPLOY.md	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	291397	a75afd5af07c714e9ce99e313160a652aaffc44383cb3f46b61f0fe3d4acd816	2026-07-20T18:42:41Z
cargo/GAME-VIDEO-STATUS.md	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	4361	cc2c755fe6c616347be18ad9eaf0a9af9430ca470095e9b4037938706ab4b538	2026-07-07T14:14:58Z
cargo/GOLD-BASELINE.md	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	4506	949b60af2eb7f68116897d8d8815aa353740e43463d818232525aad33b131ea0	2026-07-16T15:51:32Z
cargo/PLAYBOOK.md	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	40246	3df633dedc728dd2882016446a83b4ddfe8ad1e845e7165fa6afb44b958ac63c	2026-07-20T18:08:14Z
cargo/assemble-named-pages.sh	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	221	5140bece7a4da47203c099ed636972d8495c771edb29fe3073ef3eb5888473eb	2026-07-14T17:55:31Z
cargo/assemble-pages.py	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	7438	77585a8a31e0148f1c4656e8b74d2233860936753f1fa9f66453542d35b68e07	2026-07-14T18:47:34Z
cargo/assemble-test.sh	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1229	113ed1ce42a458b8b4242ad2bfc2e26ff18c787dba22bb147cb4e78b3a6fb03d	2026-07-14T18:43:16Z
cargo/assets/eviive-1.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	175930	68db679fe5e118b59d82f02e69a41286707c629e452c50867e1eab212f5e4cde	2026-07-06T12:07:28Z
cargo/assets/eviive-2.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	118730	e7bd0274a2c692303dab99472f043bc05515790e0ef2648ad21b209fcc36b9f5	2026-07-06T12:07:28Z
cargo/assets/eviive-3.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1207007	c9d36c00d6840a584c3f3fea9603e50e45a97dbfe920cf39eb7089bb14fc2130	2026-07-06T12:07:28Z
cargo/assets/eviive-4.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	95259	fe9e528d46f8ac6c6ad1cc4b5c270b6f0aed944efc89cbc8ba25db16ac8cf00d	2026-07-06T12:07:28Z
cargo/assets/eviive-5.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	477744	e723678ce4e0e131e23bf5e99885d13533175edf3ee7bfd5580487ea487d81e5	2026-07-06T12:07:28Z
cargo/assets/eviive-6.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	294789	da97e25931f1d4dc3d9dd7d5eebc64d183c367049ceef9216bddc0e4c6c333cf	2026-07-06T12:07:28Z
cargo/assets/eviive-7.jpg	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	57836	d825c97655e8d72ba2da0ed24ba6181976dfb7a2c94d694679271011e46fd579	2026-07-06T12:07:28Z
cargo/assets/montran-map-v3.png	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	251326	76ddda95caccfbb36567b71731fc855279c275cdcbdd0be67935190e8e5db01a	2026-07-10T05:13:25Z
cargo/assets/montran-map-v4.png	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	252377	050cece06c7564367aac37a6dd199fec0878937e67348e630931938536eef88c	2026-07-10T06:02:17Z
cargo/assets/raw1.png	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	477563	cb138ada6319fa8d8f158ab77098de370bdcc2a1119fc752efb6107e6b3b6b09	2026-07-10T06:00:44Z
cargo/assets/raw2.png	cargo_local_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	62021	117fe67296c419f2e830e03b622cc90faf6800ed7393302bdb44d192b0cc02e0	2026-07-10T06:00:44Z
cargo/build-motion-posters.sh	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1830	9594f5b06712474c762798035a387386d34f5803061f2cd3e728a3e9ed9bd44d	2026-07-12T20:50:49Z
cargo/compose-css-bundle.sh	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1276	3fdc8e0b0862a6066fc12c25e19eae20288806d692c9fd508efd357343977de7	2026-07-14T03:40:08Z
cargo/compose-persisted-css.py	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1981	55fbbe6efce216d0f26bc3bde05d3a831e1198ab2b7f729f86cb64fcafae26cd	2026-07-14T18:19:03Z
cargo/extract-alpha-poster.swift	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1743	4849fe9992fbb7e221b64677ab229d479a83b64ce13d68dc3ba03411882bb02f	2026-07-12T20:55:04Z
cargo/home-extras.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	8026	3c130e126b2726dcb743b79d37db06d1a45379329a071037e3e4a3c74e07bf2b	2026-07-16T23:20:01Z
cargo/home.html	cargo_assembled_bodycopy	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	125655	6d5b6f84023ac825fda7ef4934cbdb470ccd210013905a766a3d6744b00e1d32	2026-07-20T18:45:12Z
cargo/home.template.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	52887	cbe9b02a07759db7490e5f8690215331fc082474987aa0188d393a26b98a7b34	2026-07-20T15:07:38Z
cargo/index.html	cargo_auxiliary	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	21507	c499915b0b3b5b73e65f39dfe682c3dac3c281d4e849f555142161c89e02d1f6	2026-07-06T04:55:56Z
cargo/panel.js	cargo_canonical_source	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	45079	a5e7f492f987804df0b1ea999ae4d25aeabf49dbe81c39e6749cb8cfd9f68987	2026-07-20T18:14:21Z
cargo/shared-compact-nav.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	57	48894f085c588618f509308d3dee1ee6066a3b4f280bd0ebf2598a4ff98f7ed1	2026-07-14T17:53:14Z
cargo/shared-desktop-clock.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	62	64359601241330c541b1bb4c258797c540e0121cc448ead6863b9ef0de15a624	2026-07-14T18:40:57Z
cargo/shared-desktop-nav.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	160	62e0868865401120ab817fd5122b8c17e672b1a122cce55ef0f57f3258fabed7	2026-07-16T16:20:40Z
cargo/shared-early-init.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	15723	dbf6cb8d87f7ba7cbe1014520032bfcaab3943da73fd090ed2003e35bd1c9ecb	2026-07-16T07:20:45Z
cargo/shared-mobile-header.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	609	aa1b980ebf8bb2382f4eaa9823a27a56cd820be4d6a64ca63359f99343c6d4e2	2026-07-16T16:20:40Z
cargo/shared-nav-items.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	331	0f5ab94a8b59380ded80de9931af08d9072396a24411038254d6f245ba453361	2026-07-14T17:53:14Z
cargo/shared-panel.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	2683	ce5715dbb396024b2df081265afa0d949fb118b51382790ebae237c027946bc9	2026-07-15T04:53:14Z
cargo/site-head.html	cargo_canonical_source	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1880	d677c1a7e81a20482d1aa02959284f51775f0fe39411521ef91d9a972657fd56	2026-07-20T18:36:19Z
cargo/site.css	cargo_canonical_source	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	66224	c47485c1c3b55fc6b5cb577a7ad3c2115cd2cb6fdc7f3f1261ef20ae6a51f6f1	2026-07-20T14:27:26Z
cargo/test.html	cargo_test_mirror	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	204559	3c4fbcec48707a024225a86cfe2d89cc37d91bbd50d349d547d10b6e2bd7fba5	2026-07-20T18:45:00Z
cargo/tokens.css	cargo_canonical_source	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	12385	70178291f00dfeacaae9fc7c0fde2d7f444cb26456d969b7d2523d0274a71d98	2026-07-20T12:27:05Z
cargo/upload-cargo-assets.py	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	3352	c421a5d0d6cdfbc7b9a7f93c8ce96de16ea606866cba2c8dfefd24071487922c	2026-07-12T21:23:16Z
cargo/validate-cargo-payload.sh	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	5167	728bfa48c891af160db3b18c12a39d95f59f10fab459f947d27a609016cc1f00	2026-07-14T18:19:03Z
cargo/validate-shared-components.py	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	5127	440ae89cc0dd3ee9e3e37feb68efc9e82f395a896e6872bbec4637867cb85114	2026-07-15T04:53:14Z
cargo/validate-test-mirrors.py	cargo_build_or_validation_tool	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1891	9381c0b43609511f4f56426984a4ccfa6c04082b0d7db097c4cf7f754bfe3b0d	2026-07-14T18:45:24Z
cargo/who-intro.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	319	170829b95a9fe9ca494763d415970f6d5535981585d0878342b0ab2601aa6785	2026-07-14T17:53:14Z
cargo/who-test.html	cargo_test_mirror	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	147303	8e7d2442bf6b7f121ad27ee5a98b52c547d3983832bbd5f7558c7725c74306cb	2026-07-20T18:45:02Z
cargo/who.html	cargo_assembled_bodycopy	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	68399	d15ae1d4af733983a70f3182e8374b5daad0d54301e9e713783c26976dbbe383	2026-07-20T18:45:12Z
cargo/who.template.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	3040	1eb7e7aa4e3ae37ac2da9793f63e52b76e8d3bb92f60b0dd0b9b523a3f2c0e21	2026-07-14T18:41:13Z
cargo/write-test.html	cargo_test_mirror	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	146808	b02469ae9e09a509cd373787a616695ead6b89c457cd30df6f090467bd186e56	2026-07-20T18:45:13Z
cargo/write.html	cargo_assembled_bodycopy	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	67904	58bfea2fa9b1ea37351cd0205d661aa7d9235dbc92f49699201b99aacad91ef2	2026-07-20T18:45:12Z
cargo/write.template.html	cargo_source_component	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	3137	890de72ab8d6d37fc309c040f9c2ed4a62aaa33ecae0706eb54affcd11fd625d	2026-07-16T16:20:40Z
work/montran-direct-pdf-v10-src/assets/montran_sustainability-report_2025_v4-web.pdf	montran_source_asset	ignored	working file	-	13634937	664dab49810d21acaa0ffbb7d6749268215c1b655ccec11f461d67c147f02629	2026-07-11T05:51:41Z
work/montran-direct-pdf-v10-src/booklet.config.json	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	4875	7eb731382380de3e80fd29cfd018119f18b6cef49dde106fc4402002253891d9	2026-07-11T05:52:13Z
work/montran-direct-pdf-v10-src/build-bundle.py	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	2758	67f917878bd1b4f1cba24f42a1820923f9d4da0ad45e733ce7228cf163cd25be	2026-07-11T05:52:13Z
work/montran-direct-pdf-v10-src/cargo-embed.html	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	453	37622c7750fbff2fc30694f2c964ecad55ac0ea2d362bc4cd5e3e7882e6ca576	2026-07-11T05:51:41Z
work/montran-direct-pdf-v10-src/index.html	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	41529	19479fa9b80e8d46a768cf3e930d4ec1f95eab3fbaac4563314d013d93600911	2026-07-11T06:11:32Z
work/montran-direct-pdf-v10-src/loading-poster.jpg	montran_source_asset	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	97671	16afcfe464baa343846b6e7593054f063efec1ef90e07a6e0c6b6db27cfbd0f4	2026-07-11T05:51:41Z
work/montran-direct-pdf-v10-src/montran-booklet-direct-pdf-v17.html	montran_active_bundle	ignored	working file	-	1936356	825cf2c3a1f130cb3445e62443985e845991204d19e0c2154cfd43a36126b49b	2026-07-14T20:30:16Z
work/montran-direct-pdf-v10-src/vendor/page-flip.browser.js	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	44058	bbaca0bbef57a22bb66a3fc69d67baf9a17fb9a9c89ec9ed35e2b91abe4bd1e7	2026-07-11T05:51:41Z
work/montran-direct-pdf-v10-src/vendor/pdf.min.mjs	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	452296	4ba2f15599b03fde8755ad91349920c21dadd3e8fd6b6460a7663d46d4cf21b5	2026-07-11T05:51:41Z
work/montran-direct-pdf-v10-src/vendor/pdf.worker.min.mjs	montran_build_source_or_vendor	tracked	HEAD blob; scoped worktree diff clean	dataless,compressed	1255067	2ab9e09667296dab1a618868b3ce6e6c23d5b8f48120ae7c5b34e7e335ed01fa	2026-07-11T05:51:41Z
